,name,count,gbr_id,ofac_id
0,Abid Hamid Mahmud AL-TIKRITI,2,7619,7846
1,Salah BADI,2,13719,26094
2,Yahya HAQQANI,2,13144,16518
3,James Koang CHUOL,2,13265,16910
4,Moe Myint TUN,2,14062,31171
5,Ali Habib MAHMOUD,2,12024,12738
6,Sadeq MAHSOULI,2,12189,12253
7,Tarkhan Tayumurazovich BATIRASHVILI,2,13196,17283
8,Vladimir Stepanovich ALEXSEYEV,2,13747,21331
9,Alexanda Amon KOTEY,2,13511,21363
10,Pavel Anatolievich POPOV,2,13973,31125
11,Mochammad ACHWAN,2,12627,13095
12,Amer FOZ,2,13817,26889
13,Redendo Cain DELLOSA,2,10666,10850
14,Ahmed DEGHDEGH,2,10693,10936
15,Aleksandr Borisovich TOTOONOV,2,12917,16674
16,Ntabo Ntaberi SHEKA,2,12438,12958
17,Aqsa MAHMOOD,2,13285,18629
18,Konstantin Mikhailovich BAKHAREV,2,13391,20922
19,Anselem Nhamo SANYATWE,2,14053,28563
20,Adil Abdallah MAHDI,2,7618,7894
21,Gun Gun Rusman GUNAWAN,2,8832,9615
22,Khawla Barzan Ibrahim Hasan AL-TIKRITI,2,8250,8189
23,Freddy Alirio BERNAL ROSALES,2,13691,12884
24,Umar PATEK,2,12021,12599
25,Ali Barzan Ibrahim Hasan AL-TIKRITI,2,8248,8186
26,Mohamed LAHBOUS,2,12886,16225
27,Sandra OBLITAS RUZZA,2,13690,23126
28,Lionel DUMONT,2,7797,7831
29,Yahya Rahim SAFAVI,2,9006,10860
30,Sonia CASTRO GONZALEZ,2,13835,26925
31,Andrei Alexandrovich KRECHETOV,2,13877,16431
32,Min Aung HLAING,2,13897,27225
33,Georgiy L'vovich MURADOV,2,13099,20282
34,Tibisay LUCENA RAMIREZ,2,13582,22751
35,Valery Vladimirovich KAUROV,2,13065,16936
36,Yassin SYAWAL,2,7834,7928
37,Faycal BOUGHANEMI,2,8683,9357
38,Mohamed Ould MATALY,2,13803,27154
39,Nidal AL-RABI'I,2,8246,8185
40,Abdullah ANSHORI,2,8834,9617
41,Ye Win OO,2,14063,31134
42,Husayn JUAYTHINI,2,13353,19448
43,Sergei Ivanovich MENYAILO,2,13971,16934
44,Hikmat Mizban Ibrahim AL-AZZAWI,2,7578,7870
45,Mohamed BELKALEM,2,11096,12022
46,Arif QASMANI,2,10906,11373
47,Ahmad BALLUL,2,13450,20959
48,Muhammad Jibril ABDUL RAHMAN,2,12037,12598
49,Svetlana UKHNALYOVA,2,13887,15897
50,Gul Agha ISHAKZAI,2,11207,12127
51,Yelena STASHINA,2,13883,15894
52,Khin HLAING,2,13735,24807
53,Dmitry Olegovich ROGOZIN,2,12935,16649
54,Bambang SUKIRNO,2,13243,17275
55,Rostam QASEMI,2,11236,11786
56,Mohsen FAKHRIZADEH-MAHABADI,2,9050,10861
57,Milad JAFARI,2,12234,12555
58,Pavel Valentinovich SHPEROV,2,13395,20969
59,Peter GADET,2,13022,16912
60,Khalifa Muhammad Turki AL-SUBAIY,2,10747,10896
61,Yassin CHOUKA,2,12501,13057
62,Felicien NSANZUBUKIRE,2,11277,12321
63,Khin Maung SOE,2,13689,24810
64,Fereidoun ABBASI-DAVANI,2,9049,15570
65,Radi Abd El Samie Abou El Yazid EL AYASHI,2,7865,8094
66,Antonio Jose BENAVIDES TORRES,2,13583,17808
67,Abdul Reza SHAHLAI,2,12208,11177
68,Khaled AL-ZUBAIDI,2,13760,29026
69,Mikhail Efimovich FRADKOV,2,13035,24315
70,Gulmurod KHALIMOV,2,13313,18634
71,Jose Adelino ORNELAS FERREIRA,2,13841,27687
72,Angelo Ramirez TRINIDAD,2,10661,10848
73,Owen NCUBE,2,14052,28564
74,Jawhar Majid AL-DURI,2,8245,8184
75,Ali Musa AL-SHAWAKH,2,13317,18591
76,Myrna Ajijul MABANZA,2,13677,24423
77,Samir DABUL,2,13493,20942
78,Samer FOZ,2,13755,26886
79,Morteza REZAIE,2,9057,10479
80,Hussein Mahmoud FARZAT,2,12640,15224
81,Eric BADEGE,2,12838,15718
82,Andrei Alexandrovich STRIZHOV,2,13872,17547
83,Soe HTUT,2,14056,31129
84,Ivan Uladzimiravich KUBRAKOU,2,13936,29663
85,Abdolsamad KHORAMABADI,2,12865,24585
86,Ayad Futayyih Khalifa AL-RAWI,2,7590,7872
87,Ali MAMLUK,2,11901,12722
88,Jamil MUKULU,2,12204,12915
89,Viktor Alekseevich OZEROV,2,12912,16664
90,Ali WANUS,2,13494,20941
91,Anders Cameroon Ostensvig DALE,2,13128,17048
92,Manal AL-ASSAD,2,12635,29076
93,Svetlana Borisovna SAVCHENKO,2,13394,20924
94,Alexander Nikolaevich GANOV,2,13926,28184
95,Ayrat Nasimovich VAKHITOV,2,13377,20240
96,Yahia DJOUADI,2,10690,10935
97,Amir Muhammad Sa'id Abdal-Rahman AL-MAWLA,2,13840,28717
98,Maghomed Maghomedzakirovich ABDURAKHMANOV,2,13298,18963
99,Morteza TAMADDON,2,12195,16646
100,Oleg Grigorievich KOZYURA,2,12969,16949
101,Sergei Ivanovich NEVEROV,2,12956,16917
102,Victor Yakovlevich GRIN,2,13875,17546
103,Thura San LWIN,2,13692,24809
104,Khawa Panga MANDRO,2,8708,10033
105,Maulana FAZLULLAH,2,13246,17668
106,Aleksei Yurievich KRIVORUCHKO,2,13974,31124
107,Luis Alberto PEREZ OLIVAS,2,13838,28524
108,Aboud Rogo MOHAMMED,2,12735,13357
109,Abdul Qadeer Basir ABDUL BASEER,2,6911,23634
110,Nestor Neptali BLANCO HURTADO,2,13791,27863
111,Jorge Elieser MARQUEZ MONSALVE,2,13846,23130
112,Than OO,2,13684,27223
113,Santino Deng WOL,2,13021,17267
114,Yasin Ahmad DAHI,2,13495,20949
115,Peter CHERIF,2,13290,18633
116,Leopold MUJYAMBERE,2,10679,11390
117,Khamis Sirhan AL-MUHAMMAD,2,7586,7896
118,Dinno Amor Rosalejos PAREJA,2,10662,10854
119,Tin Aung SAN,2,14059,31133
120,Abu Bakar BA'ASYIR,2,8831,9614
121,Oleg LOGUNOV,2,13870,15888
122,Aleksandr Vasilievich BORTNIKOV,2,13972,31126
123,Abdullah AL-SENUSSI,2,11650,12635
124,Maikel Jose MORENO PEREZ,2,13584,22183
125,Ignace MURWANASHYAKA,2,8713,10036
126,Mohammed TUFAIL,2,7517,7138
127,Walid Hamid Tawfiq AL-TIKRITI,2,7625,7868
128,Abubaker Shariff AHMED,2,12737,13369
129,Aleksei Mikhailovich CHALIY,2,12926,16678
130,Oleg F. SILCHENKO,2,13854,15893
131,Dmitry Borisovich KRATOV,2,13852,16394
132,Thaar Ghaleb T. ALHARBI,2,13857,26085
133,Fares Mohammed MANA'A,2,11095,11741
134,Viktar Uladzimiravich SHEIMAN,2,8904,9769
135,Franklyn Leonardo DUARTE,2,13850,28312
136,Ricardo Perez AYERAS,2,10668,10852
137,Manssor ARBABSIAR,2,12206,12929
138,Ali FAZLI,2,11780,15552
139,Aslan Avgazarovich BYUTUKAEV,2,13376,20239
140,Innocent ZIMURINDA,2,11278,12322
141,Aleksey KRIVORUCHKO,2,13886,15885
142,Yong Chol KIM,2,12439,12211
143,Mustafa Hajji Muhammad KHAN,2,12629,12890
144,Salim Mustafa Muhammad AL-MANSUR,2,13615,22863
145,Simon Gatwech DUAL,2,13264,18226
146,Marial Chanuong Yol MANGOK,2,13266,16651
147,Maxime HAUCHARD,2,13291,18637
148,Morad LAABOUDI,2,13316,18590
149,Dmitriy KOMNOV,2,13862,15881
150,Sa'd bin Sa'd Muhammad Shariyan AL-KA'BI,2,13280,18047
151,Ali KONY,2,13378,19930
152,Hassan Mahat OMAR,2,12029,12824
153,Mohammad Barzan Ibrahim Hasan AL-TIKRITI,2,8251,8190
154,Boubekeur BOULGHITI,2,6998,7148
155,Haji Muhammad ASHRAF,2,9217,10691
156,Bouthaina SHAABAN,2,12690,12881
157,Imad Mohammad Deeb KHAMIS,2,12636,15226
158,Bassam Ahmad AL-HASRI,2,13446,21265
159,Aung Lin DWE,2,14061,31137
160,Raghad Saddam Hussein AL-TIKRITI,2,8253,8192
161,Pio Abogne DE VERA,2,10665,10849
162,Ivan Pavlovitch PROKOPENKO,2,13864,15892
163,Jamil HASSAN,2,11906,12812
164,Nusret IMAMOVIC,2,13314,17279
165,Bakht GUL,2,12700,13158
166,Ismael ISMAEL,2,12991,16230
167,Joseph KONY,2,13344,11018
168,Hassan Dahir AWEYS,2,6995,7006
169,Gennady Vyacheslavovich KARLOV,2,13856,23253
170,Izzat Ibrahim AL-DURI,2,7580,7848
171,Torek AGHA,2,13306,18688
172,Omar Ibrahim GHALAWANJI,2,12637,15225
173,Bayan BITAR,2,13228,21248
174,Ahmad VAHIDI,2,10647,12060
175,Muhannad AL-NAJDI,2,13315,17296
176,Yahia Abdallah AL-UBAIDI,2,7599,7886
177,Maher AL-ASSAD,2,11909,12725
178,Ghassan Jaoudat ISMAIL,2,12726,30084
179,Hussein ARNOUS,2,12996,16228
180,Intissar AL-UBAYDI,2,8257,8196
181,Adem YILMAZ,2,10752,11322
182,Remigio CEBALLOS ICHASO,2,14009,26416
183,Muhsin Khadr AL-KHAFAJI,2,7583,7890
184,Maalim AYMAN,2,14066,30426
185,Ramon Antonio AVELLAN MEDAL,2,13834,27484
186,Bashir Mohamed MAHAMOUD,2,11093,11748
187,Thoraya Barzan Ibrahim Hasan AL-TIKRITI,2,8256,8195
188,Mohammad MOGHISSEH,2,11796,23471
189,Ibrahim 'Isa Hajji Muhammad AL-BAKR,2,13195,17290
190,Amru AL-ABSI,2,13292,17282
191,Hassan Abdullah Hersi AL-TURKI,2,8425,8264
192,Innocent KAINA,2,12830,15630
193,Zakarya ESSABAR,2,7131,7267
194,Omar Mahmoud UTHMAN,2,6932,6950
195,Muzahim Sa'b Hassan AL-TIKRITI,2,7609,7854
196,Abdul Rahman YASIN,2,7478,6931
197,Abdul Aziz ABBASIN,2,12156,12924
198,Maung Maung KYAW,2,14060,31172
199,Miroslav Vladimirovich RUDENKO,2,13093,17123
200,Maysar Ali Musa Abdallah AL-JUBURI,2,13134,15590
201,Said ARIF,2,13089,17185
202,Bahmanyar Morteza BAHMANYAR,2,9005,10581
203,Anas Hasan KHATTAB,2,13133,15591
204,Khalid MISHAAL,2,7887,7914
205,Fuad Mohamed KHALAF,2,11092,11745
206,Saddam Hussein AL-TIKRITI,2,7612,7843
207,Matuq Mohammed MATUQ,2,11659,12633
208,Muhammad Hamza ZUBAIDI,2,7628,7851
209,Kamal Eddin TU'MA,2,12988,17321
210,Tahir Jalil Habbush AL-TIKRITI,2,7606,7858
211,Mohammed Yahya MUJAHID,2,10907,11376
212,Aris MUNANDAR,2,7840,7924
213,Fadil Mahmud GHARIB,2,7605,7889
214,Zafar IQBAL,2,12631,12916
215,Nikolai Platonovich PATRUSHEV,2,13036,24309
216,Ahmad AL-QADRI,2,12986,16229
217,Jesus Rafael SUAREZ CHOURIO,2,13683,22752
218,Alfred YEKATOM,2,13271,18427
219,Pacifique NTAWUNGUKA,2,10678,11389
220,Huda Salih Mahdi AMMASH,2,7602,7881
221,Gaston IYAMUREMYE,2,11276,12326
222,Najmuddin Faraj AHMAD,2,8970,10007
223,Tarek William SAAB HALABI,2,13585,22750
224,Igor Vsevolodovich GIRKIN,2,12964,16961
225,Abdelmalek DROUKDEL,2,9157,10612
226,Uday Saddam Hussein AL-TIKRITI,2,7614,7845
227,Khodr ORFALI,2,12992,17320
228,Omar HAMMAMI,2,12030,12823
229,Aseel MUTHANA,2,13297,18651
230,Ali Saddam Hussein AL-TIKRITI,2,8247,8187
231,Mostafa Mohammad NAJJAR,2,10644,12256
232,Mohammad HEJAZI,2,9061,10483
233,Kalev MUTONDO,2,13467,21143
234,Sylvestre MUDACUMURA,2,8714,11387
235,Saidullah JAN,2,13145,16517
236,Aamir Ali CHAUDHRY,2,12809,15517
237,Muhammad Omar ZADRAN,2,13146,16519
238,Hossein TAEB,2,11788,12257
239,Isnilon Totoni HAPILON,2,8787,9585
240,Mohammad Aman AKHUND,2,12456,12798
241,Mohamad Iqbal ABDURRAHMAN,2,6894,7329
242,Mohammed AL GHABRA,2,8983,10114
243,Ghalib Abdullah AL-ZAIDI,2,13448,19850
244,Sergei Mikhailovich MIRONOV,2,12919,16670
245,Ibrahim Salih Mohammed AL-YACOUB,2,7015,6920
246,Eugene Barret NGAIKOSSET,2,13309,19128
247,Saif-al-Din Fulayyih Hassan Taha AL-RAWI,2,7591,7856
248,Muhammad Yunis AHMAD,2,8681,8883
249,Aleksey Vasilyevich ANICHIN,2,13853,19099
250,Hamad Awad Dahi Sarhan AL-SHAMMARI,2,13279,17285
251,Mehrdada Akhlaghi KETABACHI,2,9054,10857
252,Natalia Vladimirovna POKLONSKAYA,2,12977,17261
253,Munir ADANOV,2,12050,13112
254,Adib MAYALEH,2,12670,13471
255,Saqr RUSTOM,2,13818,30229
256,Vladimir Michailovich DZHABAROV,2,12913,16665
257,Ghazi Hammud AL-UBAIDI,2,7598,7893
258,Iyad Nazmi Salih KHALIL,2,13447,21266
259,Hamid Hamad Hamid AL-'ALI,2,13088,17189
260,Ahmad Vahid DASTJERDI,2,9003,10582
261,Lidia Aleksandrovna BASOVA,2,13806,28352
262,Mohammad Ali JAFARI,2,10638,12066
263,Sa'd Sabawi Ibrahim Hasan AL-TIKRITI,2,8698,9354
264,Alexander Yevgeniyevich MISHKIN,2,13744,26170
265,Yasir Sabawi Ibrahim Hasan AL-TIKRITI,2,8693,9329
266,Abdul Samad ACHEKZAI,2,12556,13099
267,Amir Hamudi Hassan AL-SA'DI,2,7592,7874
268,Taufik RIFKI,2,8833,9616
269,Nestor Luis REVEROL TORRES,2,13580,22747
270,Aleksandr Igorevich KOFMAN,2,13174,19035
271,Reza TAGHIPOUR,2,12647,15550
272,Latif Nusayyif Jasim AL-DULAYMI,2,7579,7860
273,Ali FADAVI,2,11232,13153
274,Andrei Veniaminovich YARIN,2,13969,31122
275,Salim Ahmad Salim HAMDAN,2,6997,6941
276,Sultani MAKENGA,2,12812,15527
277,Agus DWIKARNA,2,7842,7921
278,Hassan HIJAZI,2,12990,16232
279,George HASWANI,2,13232,18996
280,Ghassan ABBAS,2,13229,20940
281,Muhindo Akili MUNDOS,2,13604,23643
282,Anatoliy Vladimirovich CHEPIGA,2,13751,26171
283,Ahmad Zia AGHA,2,12454,12795
284,Abdifatah Abubakar ABDI,2,13619,23923
285,Hafiz Abdul Salam BHUTTAVI,2,12630,12917
286,Evariste BOSHAB,2,13459,21144
287,Nikolai Ivanovich RYZHKOV,2,12915,16673
288,Oleg Genrikhovich SAVELYEV,2,12952,16938
289,Ahmed Khalfan GHAILANI,2,6925,6925
290,Alexander Mikhailovich BABAKOV,2,13124,16708
291,Mohammad Reza NAQDI,2,11784,12057
292,Hajji 'ABD AL-NASIR,2,13720,26095
293,Yasin Ali BAYNAH,2,10929,11747
294,Sergio Jose RIVERO MARCANO,2,13680,22753
295,Tuah FEBRIWANSYAH,2,13352,18620
296,Mohamed Amin MOSTAFA,2,7868,8098
297,Taha Yassin Ramadan AL-JIZRAWI,2,7582,7862
298,Nurjaman Riduan ISAMUDDIN,2,7156,7328
299,Ahmed DIRIYE,2,13150,18008
300,Haroun GAYE,2,13308,19129
301,Ahmed Abdi AW-MOHAMED,2,11091,11311
302,Petr Grigorievich JAROSH,2,12968,22411
303,Vladimir ANTYUFEYEV,2,13067,17265
304,Vladyslav Nykolayevych DEYNEGO,2,13182,18656
305,Salim KONY,2,13379,19929
306,Guidon Shimiray MWISSA,2,13605,23644
307,Qasem SOLEIMANI,2,9062,10481
308,Mizban Khadr HADI,2,7607,7865
309,Yankuba BADJIE,2,14005,23305
310,Habib SOUSSOU,2,13272,18428
311,Vladislav Yurievich SURKOV,2,12937,16655
312,Straton MUSONI,2,9065,10325
313,Angga Dimas PERSHADA,2,13242,17274
314,Pyotr Anatoliyovych ZIMA,2,12927,16715
315,Abu RUSDAN,2,8635,8885
316,Carlos Alberto CALDERON CHIRINOS,2,13793,27724
317,Laurent NKUNDA,2,8710,10035
318,Naser MALEKI,2,9055,10609
319,Usama HAMDAN,2,7886,7913
320,Abdul Hakim MURAD,2,7843,7925
321,Jules MUTEBUTSI,2,8709,11977
322,Djamel LOUNICI,2,7997,8087
323,Gabriel Amisi KUMBA,2,13433,20419
324,Abukar Ali ADAN,2,14065,23383
325,Redouane EL HABHAB,2,10753,11315
326,Alexander Ivanovich BASTRYKIN,2,13867,21186
327,Sally-Anne Frances JONES,2,13288,18630
328,Fikret TAGIYEV,2,13859,16396
329,Abdulpatta Escalon ABUBAKAR,2,13678,23703
330,Hannover Esteban GUERRERO MIJARES,2,13797,27040
331,Yazid SUFAAT,2,7848,7936
332,Ruslan Ismailovich BALBEK,2,13390,20923
333,Abdelkader LAAGOUB,2,8685,9358
334,Hosein SALIMI,2,9002,10584
335,Evgenii Mikhaylovich SEREBRIAKOV,2,13907,26177
336,Juan Jose MENDOZA JOVER,2,13845,22247
337,Qadri JAMIL,2,12760,15216
338,Rafael Enrique BASTARDO MENDOZA,2,14008,26388
339,Tariq AZIZ,2,7603,7867
